Repository,Fix Commit SHA,Tests Changes in Fix,BIC Commit SHA,Tests Changes in BIC
JabRef/jabref,1d7a2533833252da88274f9690cbce19b3e855b9,No,d2ddf938092bfd226f73cb63a61494a1d2dccec6,No
JabRef/jabref,774da9fe03fc339e6c53c02f47700c5dc46ac078,No,-,-
JabRef/jabref,1f6604d920e2951508635060f2263841a134e8a0,No,-,-
JabRef/jabref,913b4fbe75e117fab0c25f86f809533362eb1b3e,No,c94bb1b436b835bf4b15a1e0395a2813e71f2bc0,No
JabRef/jabref,61c5787c52be070b41cada2577910b2b93472040,No,-,-
JabRef/jabref,7063d2d9841ffe60c0f5662c5bc8dbf371d8ed1e,No,61120e40516312949e33b08f644077cbba166f31,No
JabRef/jabref,f568e4dbde5de6c5d3ed39af73d02d2b910a1930,No,-,-
JabRef/jabref,16a526f089a8f9e0a25d4a40faaba32cc83e6e03,No,85386e6436728bd6aa81085532fc86c1bb3217da,No
JabRef/jabref,81ff8f20e34fd699cd3d9c152b254e19891adba6,No,-,-
JabRef/jabref,d650b2648cba0556c9876b27bc9ccc4d6efc0a7d,No,-,-
JabRef/jabref,193bbbca670bf478f0b0ec7cb5512638c6521122,No,456241c1624f549dc0b1453114b2fe0143ef2212,No
JabRef/jabref,aa42c16a8b9e7d051ef34ec0b4e8760af56e9a74,No,8a9cec3e40405f60ab5e91e3a5313180441818b7,No
JabRef/jabref,58fec290eb65877e259ec0fc13337d7ffd2b0ada,No,dc93905798db8ef1a096e0c545c0ae9865270618,No
JabRef/jabref,ed638e22a5b9eb4aa60d98c4143b296ebe49c86a,No,fa7c7dae216d2dddecff7c756122d72516f93665,No
JabRef/jabref,1d7a2533833252da88274f9690cbce19b3e855b9,No,d2ddf938092bfd226f73cb63a61494a1d2dccec6,No
JabRef/jabref,c5c6455fa254de43ca29560868763c84ebeb8e69,No,dc0d10c46af477e3cee03e15c97b9934ebcf90b3,No
JabRef/jabref,f60c15a1250603adfa2f4ad316b1c747d677bf7c,No,7e1bf18f9bb02439133d7e9a270ae0cd24d95a8b,No
JabRef/jabref,7ec4c7e89524e406de1277c1cf58513bf8c1dc1c,No,8fa6af04335a27dee0ed1e754c88d8cefcce1dab,No
JabRef/jabref,124fadb698a373265494c5d6f3308163c46ab1f9,No,8591e09894abfddde84b0fedc515bce4276e4f80,No
JabRef/jabref,e486650c503a23d864555a151d55de41a4637547,No,55584086764e242dd459d760bc0a1ec401c93c21,No
JabRef/jabref,4c3e520a32f986e0df8a6b7187cf6b2dfe322ccc,No,2d5908a7ae171e00deb6e930cc6270d9f5a8c3b0,No
JabRef/jabref,ba305476cf9618010985962b71af6c4076874331,No,b251ebc7ec4025a182d31cb5fed74d813b33135d,No
JabRef/jabref,7ef7f5919b99d206de622288ff02cdaca6a38cba,No,-,-
JabRef/jabref,2e5dd7eaa8b1351ca373d9f3a65aa216726fdf48,No,7ace79be08f9b4a5dbfb03cb49da05101d03ab70,No
JabRef/jabref,3123090b6cf44e853eceae42854d49e78e81be2a,No,-,-
JabRef/jabref,11163319368613b8139fd6e0bc71a1fa4d6b8163,No,3c2e3f2445a073979be41151ee896a890b8c4e6c,No
JabRef/jabref,1e3bc02475ccef7183c6d866808f3e6be5e31cc5,No,-,-
JabRef/jabref,369b9a7b00cd9332fee7f1cd222bae7dc4db6c00,No,-,-
JabRef/jabref,7d247d140f0196ef0bf997dd61a7f8873d3f7524,No,-,-
JabRef/jabref,940fa2ce3f5579d65b503d4d294f832be5c9d2a9,No,-,-
JabRef/jabref,0d676a112480bbc31786cbdac083c0b2a9fc6e27,No,-,-
JabRef/jabref,cdb2de623999397c9909aded4deb88a9f3c46239,No,-,-
JabRef/jabref,a1883824126d829d9f50baed3b23836411ced0b4,No,cb8fb55dcabf27319ae2c03d64ec108e85b78e39,No
JabRef/jabref,326ef9f1b8f377ddeae1684efd6972bca62dab41,No,c1c8c760d9f09067c54a639726afb2577ed52746,No
